Incident Number,Short Description,Description,Category,Subcategory,Priority,State,Assigned To,Created Date,Resolution Notes,Affected Upstream,Affected Downstream,Connectivity Information
INC1000000,Laptop not powering on,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Database,Connection Issue,Critical,Resolved,Justin Sweeney,2024-07-17,Know establish guess right care.,API Gateway,Data Warehouse,Packet loss detected
INC1000001,"

received from: pjxclyhs.fcniljtu@gmail.com

hello,

please give full access to hmovlkyq kinawsdv and iechuoxb zcejmwsq to the following folder:

\\HostName_768\teams\finance\global bank bals fy17<file:///\\HostName_768\teams\finance\global%20bank%20bals%20fy17>


kind ","

received from: pjxclyhs.fcniljtu@gmail.com

hello,

please give full access to hmovlkyq kinawsdv and iechuoxb zcejmwsq to the following folder:

\\HostName_768\teams\finance\global bank bals fy17<file:///\\HostName_768\teams\finance\global%20bank%20bals%20fy17>


kind ",Network,Firewall,High,Cancelled,James Wood,2025-02-11,Maybe relationship benefit career this site.,API Gateway,Mobile App,Packet loss detected
INC1000002,unable to connect to engineering tool ,unable to connect to engineering tool ,Software,Database,High,Resolved,Jessica Jones,2024-11-11,Issue resolved following standard procedures.,Messaging Queue,Mobile App,No connectivity issues detected.
INC1000003,HostName_1030 is currently experiencing high cpu utilization. please investigate!,HostName_1030 is currently experiencing high cpu utilization. please investigate!,Security,Unauthorized Access,Critical,In Progress,Cory Morton,2024-06-21,Why foreign believe.,API Gateway,Frontend Portal,High latency observed
INC1000004,System crash after update,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Desktop,Critical,Cancelled,Ms. Cheryl Adams PhD,2024-05-22,Foot herself light mission western.,Messaging Queue,Frontend Portal,Firewall blocking traffic
INC1000005,Printer not responding,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Network,Firewall,Medium,In Progress,Joshua Oneal,2025-01-02,Issue resolved following standard procedures.,Authentication Server,Frontend Portal,Firewall blocking traffic
INC1000006,Printer not responding,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Network,Switch,Medium,New,<function <lambda> at 0x7eb3c62986d0>,2024-12-05,Include final study exactly anyone need democratic.,Authentication Server,Frontend Portal,No connectivity issues detected
INC1000007,Unauthorized access attempt detected,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Network,Firewall,Critical,New,Andrew Davis,2024-08-27,Region data nor still beyond night city understand.,Authentication Server,Reporting Engine,No connectivity issues detected.
INC1000008,"engineering tool login issue.
-connected to the user system using teamviewer.
-unlocked the user account.
-caller confirmed that he was able to login.
-issue resolved.","engineering tool login issue.
-connected to the user system using teamviewer.
-unlocked the user account.
-caller confirmed that he was able to login.
-issue resolved.",Network,VPN,Critical,Closed,Heidi Clark,2024-08-27,Issue resolved following standard procedures.,API Gateway,Data Warehouse,Firewall blocking traffic
INC1000009,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,Software,Application Access,Critical,New,Melinda Harris,2024-09-11,Family make majority free travel mean radio.,API Gateway,Frontend Portal,Firewall blocking traffic
INC1000010,System crash after update,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Database,Backup Failure,Low,Resolved,Luis Simon,2024-06-18,Issue resolved following standard procedures.,Messaging Queue,Frontend Portal,Firewall blocking traffic
INC1000011,client's pc is rebooting randomly and also having office software issues,client's pc is rebooting randomly and also having office software issues,Network,Internet,Low,Resolved,<function <lambda> at 0x7eb3c62986d0>,2024-09-21,Despite than voice practice include mission.,Messaging Queue,Data Warehouse,Complete network outage
INC1000012,Slow application performance,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Hardware,Monitor,Critical,New,Cindy King,2024-07-12,Section do both degree.,General System,Mobile App,No connectivity issues detected
INC1000013,"

received from: sbgvrncj.idfhtoqv@gmail.com

hello,
i changed my passwords this morning with password manager but i am having problems synching my collaboration_platform on collaboration_platform, it keeps asking me to enter the new password again and again.
the rest, including office365 on both the workstation and the mobile are working ok with the new password. just collaboration_platform is having a problem.
any suggestions?

[cid:image001.png@01d20cde.40cc4e90]
many ","

received from: sbgvrncj.idfhtoqv@gmail.com

hello,
i changed my passwords this morning with password manager but i am having problems synching my collaboration_platform on collaboration_platform, it keeps asking me to enter the new password again and again.
the rest, including office365 on both the workstation and the mobile are working ok with the new password. just collaboration_platform is having a problem.
any suggestions?

[cid:image001.png@01d20cde.40cc4e90]
many ",Security,Policy Violation,Critical,On Hold,Jon Dudley,2024-07-23,Later off consider piece animal wish small.,Firewall System,Data Warehouse,Firewall blocking traffic
INC1000014,"

received from: ybxsujwi.yzwanorl@gmail.com

dear sir ,

i have got multiple problems with the laptop
1.instant shaking of the screen
2.mails before 1 month cannot be seen unless refreshed .
3. slow in processing

please do the needful and get me out of this proms


","

received from: ybxsujwi.yzwanorl@gmail.com

dear sir ,

i have got multiple problems with the laptop
1.instant shaking of the screen
2.mails before 1 month cannot be seen unless refreshed .
3. slow in processing

please do the needful and get me out of this proms


",Software,Operating System,Low,In Progress,Ms. Cheryl Adams PhD,2024-11-05,Wonder building institution street.,Database Cluster A,Reporting Engine,Packet loss detected
INC1000015,User unable to access VPN,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Unauthorized Access,Medium,In Progress,Melinda Harris,2024-04-04,Central few room too.,Firewall System,Data Warehouse,Packet loss detected
INC1000016,Email delivery issue reported,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Hardware,Printer,High,Closed,Stephen Copeland,2024-12-07,My few threat.,API Gateway,Mobile App,No connectivity issues detected
INC1000017,Database connection timeout,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Software,Email,Low,Resolved,<function <lambda> at 0x7eb3c62986d0>,2024-03-25,Speak maintain environment Democrat individual phone four.,General System,Data Warehouse,Complete network outage
INC1000018,System crash after update,Security logs indicate an unauthorized login attempt from an unknown IP address.,Hardware,Laptop,Low,Resolved,Stephen Carpenter,2024-08-08,Purpose then experience paper.,Authentication Server,Frontend Portal,No connectivity issues detected.
INC1000019,System crash after update,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Hardware,Printer,High,Closed,Dr. Melissa Mccoy,2024-10-04,He carry age Republican.,Authentication Server,General User Interface,Complete network outage
INC1000020,Slow application performance,Security logs indicate an unauthorized login attempt from an unknown IP address.,Hardware,Laptop,Medium,In Progress,<function <lambda> at 0x7eb3c62986d0>,2024-04-23,Center last network fly compare.,Authentication Server,Frontend Portal,No connectivity issues detected
INC1000021,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00","received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00",Hardware,Laptop,High,New,Mary Mills,2024-10-01,Describe cup management meeting myself hour site.,Database Cluster A,Frontend Portal,High latency observed
INC1000022,Printer not responding,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Hardware,Desktop,Critical,Cancelled,Billy Davis,2024-11-16,Experience common free beat list American.,Database Cluster A,General User Interface,No connectivity issues detected.
INC1000023,User unable to access VPN,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Database,Backup Failure,High,In Progress,Stephen Copeland,2024-03-25,Best wall unit today.,Messaging Queue,Reporting Engine,VPN connectivity unstable
INC1000024,wi- fi access to user jamhdtyes kinhytudel,wi- fi access to user jamhdtyes kinhytudel,Hardware,Monitor,Medium,In Progress,Ms. Cheryl Adams PhD,2024-08-03,Whom large so operation model various child president.,Authentication Server,Mobile App,Complete network outage
INC1000025,System crash after update,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Database,Performance,Critical,Cancelled,Mary Lamb,2024-04-12,Issue resolved following standard procedures.,Database Cluster A,Mobile App,VPN connectivity unstable
INC1000026,Unauthorized access attempt detected,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Database,Timeout,Critical,Cancelled,Andrew Davis,2024-09-19,Issue resolved following standard procedures.,API Gateway,Frontend Portal,No connectivity issues detected
INC1000027,Firewall policy misconfiguration,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Hardware,Desktop,Medium,On Hold,Alexandria Casey,2025-01-26,Or pass different do.,Authentication Server,General User Interface,No connectivity issues detected.
